@RELATION test
@ATTRIBUTE rowc NUMERIC 
@ATTRIBUTE colc NUMERIC 
@ATTRIBUTE class {-1,1}

@DATA 
135.267899 , 162.171707 ,  -1 
134.566696 , 347.7901 ,  -1 
133.334503 , 549.715027 ,  -1 
130.008102 , 736.873779 ,  -1 
123.6791 , 915.97113 ,  -1 
124.205902 , 1106.69397 ,  -1 
131.837296 , 1314.27795 ,  -1 
127.570801 , 1497.84595 ,  -1 
124.048302 , 1698.66296 ,  -1 
129.2229 , 1901.57898 ,  -1 
268.460693 , 155.289597 ,  -1 
270.522003 , 353.567596 ,  -1 
260.405701 , 534.015625 ,  -1 
262.132111 , 726.623413 ,  -1 
260.343689 , 925.31897 ,  -1 
268.345215 , 1120.23804 ,  -1 
261.817413 , 1295.349 ,  -1 
270.949493 , 1496.94702 ,  -1 
266.102997 , 1697.02905 ,  -1 
268.255615 , 1887.48206 ,  -1 
407.696991 , 158.585693 ,  -1 
404.679688 , 351.546692 ,  -1 
406.149414 , 543.952576 ,  -1 
400.384094 , 729.135925 ,  -1 
396.034088 , 921.929688 ,  -1 
398.533386 , 1119.07898 ,  -1 
400.402588 , 1313.32898 ,  -1 
404.763702 , 1511.14502 ,  -1 
405.757294 , 1697.76904 ,  -1 
397.242706 , 1893.896 ,  -1 
539.777588 , 166.4543 ,  -1 
540.917175 , 354.058594 ,  -1 
539.15271 , 544.245605 ,  -1 
529.063721 , 732.035278 ,  -1 
537.035828 , 925.096619 ,  -1 
538.978027 , 1115.25098 ,  -1 
538.419922 , 1297.276 ,  -1 
536.872314 , 1495.02795 ,  -1 
531.499878 , 1693.5 ,  -1 
538.207275 , 1894.50098 ,  -1 
674.11438 , 168.505295 ,  -1 
668.733398 , 360.533386 ,  -1 
670.572205 , 536.554993 ,  -1 
674.135925 , 736.757874 ,  -1 
669.948914 , 912.952026 ,  -1 
671.148193 , 1105.95496 ,  -1 
663.081726 , 1308.08301 ,  -1 
664.39093 , 1505.98096 ,  -1 
665.531799 , 1688.85999 ,  -1 
674.9552 , 1893.89099 ,  -1 
802.56073 , 167.251495 ,  -1 
803.056519 , 350.833893 ,  -1 
803.785278 , 547.916992 ,  -1 
800.349976 , 730.120911 ,  -1 
803.68927 , 923.313171 ,  -1 
806.420776 , 1115.41797 ,  -1 
807.883301 , 1303.33203 ,  -1 
795.314575 , 1509.49597 ,  -1 
796.561829 , 1702.698 ,  -1 
799.032776 , 1900.56299 ,  -1 
937.492798 , 158.718307 ,  -1 
932.103394 , 353.09729 ,  -1 
941.2771 , 542.834778 ,  -1 
933.722229 , 734.19989 ,  -1 
942.118286 , 922.783203 ,  -1 
929.678528 , 1113.01697 ,  -1 
939.959473 , 1310.87 ,  -1 
935.949585 , 1498.60901 ,  -1 
935.081482 , 1706.00696 ,  -1 
942.257629 , 1882.08704 ,  -1 
1080.03796 , 157.033295 ,  -1 
1080.90198 , 362.1474 ,  -1 
1073.91602 , 545.224121 ,  -1 
1068.48206 , 739.860413 ,  -1 
1072.40906 , 916.597412 ,  -1 
1079.20398 , 1111.03198 ,  -1 
1074.88306 , 1314.19104 ,  -1 
1072.49402 , 1503.02295 ,  -1 
1081.45996 , 1702.84802 ,  -1 
1077.61902 , 1895.98499 ,  -1 
1215.09302 , 158.090607 ,  -1 
1217.06995 , 351.684998 ,  -1 
1219.64099 , 533.497681 ,  -1 
1223.28796 , 738.059021 ,  -1 
1219.854 , 912.573608 ,  -1 
1216.354 , 1120.198 ,  -1 
1214.16394 , 1306.32605 ,  -1 
1221.12598 , 1510.42603 ,  -1 
1213.953 , 1695.44702 ,  -1 
1212.72095 , 1888.80005 ,  -1 
1353.75598 , 154.447296 ,  -1 
1359.22998 , 345.152313 ,  -1 
1357.94897 , 531.864502 ,  -1 
1358.297 , 723.514099 ,  -1 
1358.12598 , 924.34491 ,  -1 
1357.38794 , 1118.03601 ,  -1 
1362.98303 , 1303.96497 ,  -1 
1358.80896 , 1500.19397 ,  -1 
1361.86096 , 1707.39905 ,  -1 
1361.39404 , 1882.12598 ,  -1 
103.536102 , 121.239799 ,  -1 
92.7962036 , 201.078995 ,  -1 
94.3751373 , 306.789795 ,  -1 
92.8866272 , 405.036804 ,  -1 
100.456596 , 502.221893 ,  -1 
100.358803 , 593.690186 ,  -1 
95.6458893 , 685.885071 ,  -1 
94.4468536 , 783.047913 ,  -1 
104.672401 , 877.513123 ,  -1 
98.2928391 , 968.138123 ,  -1 
93.0156403 , 1064.11096 ,  -1 
101.233902 , 1169.91895 ,  -1 
94.8863678 , 1265.23999 ,  -1 
93.0921936 , 1350.005 ,  -1 
98.9045563 , 1451.96399 ,  -1 
96.0470734 , 1549.53503 ,  -1 
94.978569 , 1646.81604 ,  -1 
98.4620972 , 1742.11304 ,  -1 
97.5533066 , 1838.78894 ,  -1 
96.5339737 , 1942.38 ,  -1 
165.1689 , 111.934097 ,  -1 
157.579605 , 200.509705 ,  -1 
158.192795 , 315.591705 ,  -1 
159.963898 , 398.122192 ,  -1 
169.906799 , 504.515686 ,  -1 
161.027893 , 582.039612 ,  -1 
162.342194 , 683.590271 ,  -1 
169.444901 , 786.344971 ,  -1 
161.8909 , 863.883301 ,  -1 
159.881607 , 974.960388 ,  -1 
169.753006 , 1063.646 ,  -1 
166.875504 , 1170.93506 ,  -1 
167.056305 , 1252.43506 ,  -1 
169.912796 , 1351.08801 ,  -1 
161.703705 , 1451.41003 ,  -1 
164.673203 , 1558.43604 ,  -1 
166.544098 , 1649.50598 ,  -1 
170.846893 , 1742.99304 ,  -1 
157.248795 , 1837.802 ,  -1 
166.834198 , 1945.87195 ,  -1 
238.327103 , 113.439201 ,  -1 
227.095001 , 214.163101 ,  -1 
232.714493 , 302.113495 ,  -1 
238.686203 , 408.325806 ,  -1 
227.850204 , 503.114502 ,  -1 
236.063293 , 579.844482 ,  -1 
232.478104 , 683.425171 ,  -1 
232.937393 , 786.06073 ,  -1 
229.849899 , 873.798584 ,  -1 
